FlightOperator,Time,DepartureAndArrivalAirports,NumberOfStops,Price
SWISSOperat de Helvetic,7 h 5 min.,OTP–LHR,O escală,1.256 USD
Austrian,9 h 25 de min.,OTP–LHR,O escală,1.257 USD
Lufthansa,5 h,OTP–LHR,O escală,1.296 USD
British Airways,3 h 50 de min.,OTP–LHR,Fără escală,1.322 USD
LOT,6 h,OTP–LHR,O escală,1.491 USD
Austrian,7 h 20 de min.,OTP–LHR,O escală,1.257 USD
Lufthansa,6 h 25 de min.,OTP–LHR,O escală,1.296 USD
"SWISSOperat de Helvetic, Helvetic",16 h 55 de min.,OTP–LCY,O escală,1.467 USD
KLMOperat de KLM Cityhopper,4 h 50 de min.,OTP–LCY,O escală,2.019 USD
Lufthansa,5 h 30 de min.,OTP–LHR,O escală,2.127 USD
Turkish Airlines,7 h 40 de min.,OTP–LGW,O escală,2.582 USD
